Deelvraag;;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;2.1;3.1;4.1;4.2
Meerekenen;;true;true;true;true;true;true;true;true;true;true;true;true;true
Punten;;3;5;4;6;4;6;6;7;7;20;20;7;5
1000001;1A;0;5;4;6;4;6;6;0;0;0;19;0;0
1000002;1A;3;5;4;0;0;6;0;0;0;14;7;3;0
1000003;1A;0;0;4;6;4;0;0;0;0;10;20;3;0
1000004;1A;0;0;0;0;4;0;0;0;0;12;5;3;0
1000005;1A;3;0;4;6;0;6;6;0;0;20;7;7;0
1000006;1A;3;0;4;0;0;0;0;0;0;10;8;7;0
1000007;1A;0;0;4;0;4;6;6;0;0;14;10;7;0
1000008;1A;3;5;4;6;0;0;6;0;7;15;17;7;1
1000009;1A;3;5;4;0;4;0;0;0;0;14;13;3;0
1000010;1A;3;5;4;6;4;0;6;0;7;14;20;7;1
1000011;1A;3;0;4;0;4;0;0;7;7;11;14;3;0
1000012;1A;3;5;4;0;4;0;6;7;7;17;17;7;0
1000013;1A;3;0;4;6;4;6;6;7;7;14;14;0;0
1000014;1A;3;5;4;6;4;0;6;0;0;13;16;0;0
1000015;1A;3;5;4;0;4;0;0;0;7;17;19;0;0
1000016;1A;0;5;4;6;4;0;0;0;0;10;0;3;0
1000017;1A;3;0;4;0;4;6;6;0;0;17;9;3;0
1000018;1B;3;5;4;6;4;0;6;0;7;18;14;3;0
1000019;1B;3;5;4;6;4;6;6;7;7;17;14;7;5
1000020;1B;0;5;4;0;4;0;0;0;0;15;20;7;0
1000021;1B;3;5;4;6;4;0;0;0;7;12;10;0;1
1000022;1B;3;5;4;6;4;0;6;6;7;15;7;3;5
1000023;1B;3;5;4;6;4;6;6;7;7;17;10;3;0
1000024;1B;3;5;4;6;4;6;0;0;7;0;0;4;5
1000025;1B;0;0;0;0;4;6;0;0;0;14;0;0;0
1000026;1B;3;0;4;0;4;0;0;0;0;13;14;3;0
1000027;1B;3;0;4;3;4;0;6;0;0;17;7;3;0
1000028;1B;3;5;4;6;0;0;6;0;7;17;20;0;5
1000029;1B;3;5;4;6;4;6;6;7;7;14;18;0;0
1000030;1B;3;5;4;6;0;6;6;7;7;20;20;3;0
1000031;1B;3;5;4;6;4;6;6;0;7;17;17;3;1
1000032;1B;3;5;4;0;4;0;0;0;0;11;15;7;0
1000033;1B;0;5;4;6;4;6;6;7;7;11;14;7;5
1000034;1B;3;5;4;6;4;0;0;7;7;13;13;7;0
1000035;1B;0;5;4;6;4;0;6;0;0;12;19;0;1
1000036;1B;3;0;4;0;0;0;0;0;0;20;0;0;0
1000037;1B;0;5;4;6;4;6;6;7;7;14;18;7;1
1000038;1B;3;5;4;6;4;6;6;7;0;16;16;7;0
1000039;1B;3;5;0;6;0;6;6;0;7;12;0;3;0
1000040;1B;3;5;4;6;4;6;6;7;0;16;19;7;0
1000041;1B;0;5;4;6;4;6;6;7;7;10;0;0;1
1000042;1B;0;5;4;6;4;6;6;0;7;11;8;3;0
1000043;1C;3;5;4;6;4;0;6;0;7;16;12;7;0
1000044;1C;3;5;4;6;4;6;6;7;7;13;15;3;0
1000045;1C;3;5;4;6;4;6;6;7;7;16;10;0;0
1000046;1C;3;5;4;6;4;6;6;7;7;20;3;0;0
1000047;1C;0;5;4;6;4;6;0;7;7;17;17;0;0
1000048;1C;0;5;4;6;4;6;0;0;7;13;14;7;0
1000049;1C;3;5;4;6;4;6;0;0;7;14;14;7;0
1000050;1C;0;5;0;0;0;0;0;0;0;14;9;3;1
1000051;1C;0;0;4;0;4;0;0;0;0;12;0;3;0
1000052;1C;0;0;4;6;0;0;6;0;7;17;15;7;0
1000053;1C;3;5;4;6;4;0;0;0;7;17;18;3;1
1000054;1C;3;0;4;0;4;0;0;0;7;14;13;0;0
1000055;1C;3;5;4;6;4;0;6;7;0;12;12;3;0
